"canonical_card_id","card_name","card_number","previous_unresolved_reason","resolved_reading","reading_completeness","status","source_type","source_url_1","source_url_2","source_url_3","source_url_4","evidence_note","final_card_name","final_status","final_resolved_reading","final_source_type","final_source_url_1","final_decision_note"
"7933","ダムダム・ジョーカーズ","DM26RP3 T9/T10","DMWikiページにルビなし","ダムダム・ジョーカーズ","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-T009","https://dmwiki.net/%E3%80%8A%E3%83%80%E3%83%A0%E3%83%80%E3%83%A0%E3%83%BB%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%AB%E3%83%BC%E3%82%BA%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ダムダム・ジョーカーズ","confirmed_official","ダムダム・ジョーカーズ","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-T009","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"9592","ニクジール・ブッシャー","DM26RP3 TR9/TR9","DMWikiページにルビなし","ニクジール・ブッシャー","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-TR009","https://dmwiki.net/%E3%80%8A%E3%83%8B%E3%82%AF%E3%82%B8%E3%83%BC%E3%83%AB%E3%83%BB%E3%83%96%E3%83%83%E3%82%B7%E3%83%A3%E3%83%BC%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ニクジール・ブッシャー","confirmed_official","ニクジール・ブッシャー","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-TR009","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43687","Dr.富士山ッピング","DM26RP3 S3/S11 | DM26RP3 ㊙4/㊙24","DMWiki見出しがDB正式名と不一致","ドクター.フジヤマッピング","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8ADr.%E5%AF%8C%E5%A3%AB%E5%B1%B1%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%80%8B","","","","Dr.(ドクター)、富士山(フジヤマ)の明示ルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","Dr.富士山ッピング","confirmed_dmwiki","ドクター.フジヤマッピング","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8ADr.%E5%AF%8C%E5%A3%AB%E5%B1%B1%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43688","SUPREME-GUN・ザ・ジョニー","DM26RP3 S1/S11 | DM26RP3 ㊙2/㊙24","DMWiki見出しがDB正式名と不一致","スプリガン・ザ・ジョニー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8ASUPREME-GUN%E3%83%BB%E3%82%B6%E3%83%BB%E3%82%B8%E3%83%A7%E3%83%8B%E3%83%BC%E3%80%8B","","","","SUPREME-GUN(スプリガン)の明示ルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","SUPREME-GUN・ザ・ジョニー","confirmed_dmwiki","スプリガン・ザ・ジョニー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8ASUPREME-GUN%E3%83%BB%E3%82%B6%E3%83%BB%E3%82%B8%E3%83%A7%E3%83%8B%E3%83%BC%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43689","∑龍","DM26RP3 OR1/OR1 | DM26RP3 ㊙1/㊙24","DMWiki見出しがDB正式名と不一致","ウィンロン","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://www.m.dmwiki.net/%E3%80%8A%CE%A3%E9%BE%8D%E3%80%8B","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-SEC001","","","記事はΣ龍(U+03A3)(ウィンロン)、公式printは∑龍(U+2211), OR1/OR1。Unicode記号差だが同一printを確認。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","∑龍","confirmed_dmwiki","ウィンロン","dmwiki_explicit_ruby","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-SEC001","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43693","キング∞エンペラー","DM26RP3 S8/S11 | DM26RP3 ㊙9/㊙24","DMWikiページにルビなし","","unresolved","unresolved","official_name_dmwiki_no_ruby","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-S008","https://dmwiki.net/%E3%80%8A%E3%82%AD%E3%83%B3%E3%82%B0%E2%88%9E%E3%82%A8%E3%83%B3%E3%83%9A%E3%83%A9%E3%83%BC%E3%80%8B","","","公式カード名とDMWikiに読みの明示なし。∞の読みを公式根拠なしで補えない。","キング∞エンペラー","confirmed_user_instruction","キングエンペラー","user_instruction","","ユーザーの明示指示で確定。∞は読まず、むげん・インフィニティ・エイト等を追加しない。公式名ページとDMWikiに読みの明示はない。"
"43696","ケツカッちん","DM26RP3 41/77","DMWikiページにルビなし","ケツカッちん","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-041","https://dmwiki.net/%E3%80%8A%E3%82%B1%E3%83%84%E3%82%AB%E3%83%83%E3%81%A1%E3%82%93%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ケツカッちん","confirmed_official","ケツカッちん","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-041","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43698","コクーン・ツェッペリン","DM26RP3 21/77 | DM26RP3 ㊙17/㊙24","DMWikiページにルビなし","コクーン・ツェッペリン","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-021","https://dmwiki.net/%E3%80%8A%E3%82%B3%E3%82%AF%E3%83%BC%E3%83%B3%E3%83%BB%E3%83%84%E3%82%A7%E3%83%83%E3%83%9A%E3%83%AA%E3%83%B3%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","コクーン・ツェッペリン","confirmed_official","コクーン・ツェッペリン","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-021","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43699","ザエッサの海影 / 六奇怪の無 ～氾濫する覇王～","DM26RP3 61/77","DMWiki見出しがDB正式名と不一致","ザエッサのムーショ／ろくきかいのむ ～はんらんするはおう～","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://www.m.dmwiki.net/%E3%80%8A%E3%82%B6%E3%82%A8%E3%83%83%E3%82%B5%E3%81%AE%E6%B5%B7%E5%BD%B1%EF%BC%8F%E5%85%AD%E5%A5%87%E6%80%AA%E3%81%AE%E7%84%A1%2B%E3%80%9C%E6%B0%BE%E6%BF%AB%E3%81%99%E3%82%8B%E8%A6%87%E7%8E%8B%E3%80%9C%E3%80%8B","","","","twin-impact見出しの両面ルビを取得。半角/と全角／、空白・波ダッシュ差。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","ザエッサの海影 / 六奇怪の無 ～氾濫する覇王～","confirmed_dmwiki","ザエッサのムーショ／ろくきかいのむ ～はんらんするはおう～","dmwiki_explicit_ruby","https://www.m.dmwiki.net/%E3%80%8A%E3%82%B6%E3%82%A8%E3%83%83%E3%82%B5%E3%81%AE%E6%B5%B7%E5%BD%B1%EF%BC%8F%E5%85%AD%E5%A5%87%E6%80%AA%E3%81%AE%E7%84%A1%2B%E3%80%9C%E6%B0%BE%E6%BF%AB%E3%81%99%E3%82%8B%E8%A6%87%E7%8E%8B%E3%80%9C%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43701","スイドー・ド・デショー","DM26RP3 33/77","DMWikiページにルビなし","スイドー・ド・デショー","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-033","https://dmwiki.net/%E3%80%8A%E3%82%B9%E3%82%A4%E3%83%89%E3%83%BC%E3%83%BB%E3%83%89%E3%83%BB%E3%83%87%E3%82%B7%E3%83%A7%E3%83%BC%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","スイドー・ド・デショー","confirmed_official","スイドー・ド・デショー","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-033","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43703","ツミタテンカーネン","DM26RP3 65/77 | DM26RP3 ㊙23/㊙24","DMWikiページにルビなし","ツミタテンカーネン","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-065","https://dmwiki.net/%E3%80%8A%E3%83%84%E3%83%9F%E3%82%BF%E3%83%86%E3%83%B3%E3%82%AB%E3%83%BC%E3%83%8D%E3%83%B3%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ツミタテンカーネン","confirmed_official","ツミタテンカーネン","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-065","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43707","にやにYAH","DM26RP3 13/77","DMWiki見出しがDB正式名と不一致","にやにヤー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%81%AB%E3%82%84%E3%81%ABYAH%E3%80%8B","","","","YAH(ヤー)の明示ルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","にやにYAH","confirmed_dmwiki","にやにヤー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E3%81%AB%E3%82%84%E3%81%ABYAH%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43708","ノヴァルチャ・ハレイズ","DM26RP3 14/77","DMWikiページにルビなし","ノヴァルチャ・ハレイズ","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-014","https://dmwiki.net/%E3%80%8A%E3%83%8E%E3%83%B4%E3%82%A1%E3%83%AB%E3%83%81%E3%83%A3%E3%83%BB%E3%83%8F%E3%83%AC%E3%82%A4%E3%82%BA%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ノヴァルチャ・ハレイズ","confirmed_official","ノヴァルチャ・ハレイズ","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-014","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43710","ヒトリダチ キャンベロ","DM26RP3 30/77","DMWikiページにルビなし","ヒトリダチ キャンベロ","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-030","https://dmwiki.net/%E3%80%8A%E3%83%92%E3%83%88%E3%83%AA%E3%83%80%E3%83%81%20%E3%82%AD%E3%83%A3%E3%83%B3%E3%83%99%E3%83%AD%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ヒトリダチ キャンベロ","confirmed_official","ヒトリダチ キャンベロ","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-030","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43711","ヒトリダチ ケントナーク","DM26RP3 1/77","DMWikiページにルビなし","ヒトリダチ ケントナーク","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-001","https://dmwiki.net/%E3%80%8A%E3%83%92%E3%83%88%E3%83%AA%E3%83%80%E3%83%81%20%E3%82%B1%E3%83%B3%E3%83%88%E3%83%8A%E3%83%BC%E3%82%AF%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ヒトリダチ ケントナーク","confirmed_official","ヒトリダチ ケントナーク","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-001","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43712","ヒトリダチ モンキッド","DM26RP3 55/77 | DM26RP3 ㊙22/㊙24","DMWikiページにルビなし","ヒトリダチ モンキッド","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-055","https://dmwiki.net/%E3%80%8A%E3%83%92%E3%83%88%E3%83%AA%E3%83%80%E3%83%81%20%E3%83%A2%E3%83%B3%E3%82%AD%E3%83%83%E3%83%89%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ヒトリダチ モンキッド","confirmed_official","ヒトリダチ モンキッド","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-055","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43713","ヒミッツキッチ・グローブ","DM26RP3 52/77 | DM26RP3 ㊙21/㊙24","DMWikiページにルビなし","ヒミッツキッチ・グローブ","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-052","https://dmwiki.net/%E3%80%8A%E3%83%92%E3%83%9F%E3%83%83%E3%83%84%E3%82%AD%E3%83%83%E3%83%81%E3%83%BB%E3%82%B0%E3%83%AD%E3%83%BC%E3%83%96%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ヒミッツキッチ・グローブ","confirmed_official","ヒミッツキッチ・グローブ","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-052","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43714","ホッタレマン","DM26RP3 74/77","DMWikiページにルビなし","ホッタレマン","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-074","https://dmwiki.net/%E3%80%8A%E3%83%9B%E3%83%83%E3%82%BF%E3%83%AC%E3%83%9E%E3%83%B3%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","ホッタレマン","confirmed_official","ホッタレマン","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-074","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43715","ミノガミ&オウ禍武斗 / T.２.D.","DM26RP3 4/77 | DM26RP3 ㊙13/㊙24","DMWiki見出しがDB正式名と不一致","ミノガミアンドオウカブト／トラップ.ツー.ダウン.","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://www.m.dmwiki.net/%E3%80%8A%E3%83%9F%E3%83%8E%E3%82%AC%E3%83%9F%EF%BC%86%E3%82%AA%E3%82%A6%E7%A6%8D%E6%AD%A6%E6%96%97%EF%BC%8FT.2.D.%E3%80%8B","","","","＆(アンド)、禍武斗(カブト)、T(トラップ).2(ツー).D(ダウン)のルビ。DBの&/全角2/空白差。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","ミノガミ&オウ禍武斗 / T.２.D.","confirmed_dmwiki","ミノガミアンドオウカブト／トラップ.ツー.ダウン.","dmwiki_explicit_ruby","https://www.m.dmwiki.net/%E3%80%8A%E3%83%9F%E3%83%8E%E3%82%AC%E3%83%9F%EF%BC%86%E3%82%AA%E3%82%A6%E7%A6%8D%E6%AD%A6%E6%96%97%EF%BC%8FT.2.D.%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43716","メモッタルド・デカスギオ / メモメモ・ジョーカーズ","DM26RP3 45/77 | DM26RP3 ㊙20/㊙24","DMWikiページにルビなし","メモッタルド・デカスギオ／メモメモ・ジョーカーズ","full","confirmed_official","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-045","https://dmwiki.net/%E3%80%8A%E3%83%A1%E3%83%A2%E3%83%83%E3%82%BF%E3%83%AB%E3%83%89%E3%83%BB%E3%83%87%E3%82%AB%E3%82%B9%E3%82%AE%E3%82%AA%EF%BC%8F%E3%83%A1%E3%83%A2%E3%83%A1%E3%83%A2%E3%83%BB%E3%82%B8%E3%83%A7%E3%83%BC%E3%82%AB%E3%83%BC%E3%82%BA%E3%80%8B","","","公式カード詳細で対象印刷名を確認。カード名全体がかな書きなので表記どおりを読みとして記録。DMWikiに明示ルビなし。","メモッタルド・デカスギオ / メモメモ・ジョーカーズ","confirmed_official","メモッタルド・デカスギオ／メモメモ・ジョーカーズ","official_card_name_written_in_kana","https://dm.takaratomy.co.jp/card/detail/?id=dm26rp3-045","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
"43728","大地 コンダマ-2","DM26RP3 20/77","DMWiki見出しがDB正式名と不一致","だいち コンダマ-ツー","full","confirmed_dmwiki","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E5%A4%A7%E5%9C%B0%20%E3%82%B3%E3%83%B3%E3%83%80%E3%83%9E-2%E3%80%8B","","","","大地(だいち)、2(ツー)の明示ルビ。 見出しからルビ注釈を除いた形でもDB正式名との表記差を照合済み。","大地 コンダマ-2","confirmed_dmwiki","だいち コンダマ-ツー","dmwiki_explicit_ruby","https://dmwiki.net/%E3%80%8A%E5%A4%A7%E5%9C%B0%20%E3%82%B3%E3%83%B3%E3%83%80%E3%83%9E-2%E3%80%8B","B調査の確定読みを最終候補として採用。原典URLと根拠は既存列を保持。"
